component_name,mass_g,mass_kg
lead-lithium-eutectic-breeder,3352093058.8608685,3352093.0588608687
tungsten carbide,2280552128.2182255,2280552.1282182257
tungsten boride WB,781182954.5007017,781182.9545007016
Hastelloy C-276,649748110.6863912,649748.1106863912
stainless 304,438596080.0,438596.08
Eurofer97,180326143.30027643,180326.14330027642
Copper,109144025.7308906,109144.0257308906
Silver,51112546.78552996,51112.546785529965
tungsten,23570508.5,23570.5085
SS316LN,17253078.96,17253.078960000003
water,16542873.199928194,16542.873199928195
REBCO tape,15348378.618406493,15348.378618406494
air,1215864.608,1215.864608
Magnesium oxide MgO,436089.5173209891,436.0895173209891
LaMnO3,324993.8457034525,324.99384570345245
Alumina: Al2O3,194411.61084809227,194.41161084809227
Yttrium Oxide: Y2O3,61027.70490908159,61.02770490908159
vacuum,2.01e-32,2.01e-35
