material_id,material_name,volume_cm3,density_g_per_cm3,p_i,uncertainty_cm3_est,rel_unc_percent_est,mass_g
4,air,1009016272,0.001205,0.504508136,31621.49122,0.003133893,1215864.608
60,PbLi Breeder with Structure,348386968,9.62190969,0.174193484,23987.50626,0.006885305,3352147943
0,vacuum,201413046,1.00E-40,0.100706523,19033.09951,0.009449785,2.01E-32
56,HT Shield Filler,186213402,11.32983075,0.093106701,18378.0133,0.009869329,2109766328
69,Magnet Winding Pack 2.0,92808980,8.903983047,0.04640449,13304.30206,0.014335145,826369584.5
54,tungsten boride WB(0.8)-water(0.2),63284426,12.544,0.031642213,11070.85965,0.017493814,793839839.7
298,stainless 304,54824510,8,0.027412255,10326.82396,0.018836145,438596080
16,tungsten carbide(0.8)-water(0.2),19429940,12.704,0.00971497,6203.414981,0.031927093,246837957.8
63,Back Wall,13637770,6.2010646,0.006818885,5204.762361,0.038164321,84568692.77
62,First Wall,7584572,3.1031938,0.003792286,3887.366495,0.051253604,23536396.81
49,SS316LN,2175672,7.93,0.001087836,2084.852621,0.095825686,17253078.96
31,tungsten,1224442,19.25,0.000612221,1564.411948,0.127765296,23570508.5
